"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"P1","Header6x1_1.27mm","21.1328mm","-15.748mm","24.3078mm","-15.748mm","24.3078mm","-15.748mm","T","90.00","Header 6x1 1.27mm"
"P3","Hdr_4x1_2mm","28.7782mm","-12.2964mm","28.7782mm","-9.2964mm","28.7782mm","-9.2964mm","T","180.00","HDR_4x1_2mm"
"Q2","SOT-523","25.8572mm","-1.8034mm","25.8572mm","-1.8034mm","25.2072mm","-1.3034mm","T","0.00","DMN5L06TK-7"
"*1","XTAL-ABS06","22.8092mm","-2.6924mm","22.8092mm","-2.6924mm","22.0842mm","-2.6924mm","T","0.00","XTAL_ABS06"
"*2","Reed_MK24-B-3","23.8252mm","-0.0254mm","23.8252mm","-0.0254mm","25.9252mm","-0.0254mm","B","180.00","Reed_MK24"
"C1","0402","23.4442mm","-0.6604mm","23.4442mm","-0.6604mm","23.4442mm","-0.0104mm","T","270.00","12.5"
"C3","0402","18.4912mm","-0.9144mm","18.4912mm","-0.9144mm","18.4912mm","-0.2644mm","T","270.00","0.1uF"
"C4","0402","25.3492mm","-8.0264mm","25.3492mm","-8.0264mm","25.3492mm","-7.3764mm","T","270.00","0.1uF"
"C5","0402","26.2382mm","-7.8994mm","26.2382mm","-7.8994mm","26.2382mm","-7.2494mm","T","270.00","0.1uF"
"C6","0402","15.3162mm","-4.9784mm","15.3162mm","-4.9784mm","15.3162mm","-5.6284mm","T","90.00","0.1 uF"
"C7","0402","23.3172mm","-12.4714mm","23.3172mm","-12.4714mm","23.9672mm","-12.4714mm","T","180.00","0.1 uF"
"C8","Tant0805","25.0952mm","-8.4074mm","25.0952mm","-8.4074mm","24.4221mm","-8.4074mm","B","360.00","1uF"
"C9","Tant0805","25.3746mm","-2.159mm","25.3746mm","-2.159mm","24.7015mm","-2.159mm","B","360.00","1uF"
"C10","Tant0805","17.6022mm","-0.9144mm","17.6022mm","-0.9144mm","17.6022mm","-0.2413mm","B","270.00","10uF"
"C11","0402","19.5072mm","-0.1524mm","19.5072mm","-0.1524mm","18.8572mm","-0.1524mm","B","360.00","0.1uF"
"C12","Tant0805","19.5834mm","-5.9944mm","19.5834mm","-5.9944mm","19.5834mm","-6.6675mm","B","90.00","1uF"
"C13","0402","15.6972mm","-14.7574mm","15.6972mm","-14.7574mm","16.3472mm","-14.7574mm","B","180.00","0.1uF"
"C14","0402","3.6322mm","-11.9634mm","3.6322mm","-11.9634mm","2.9822mm","-11.9634mm","B","360.00","0.1uF"
"C15","Tant0805","21.0312mm","-13.8684mm","21.0312mm","-13.8684mm","21.0312mm","-14.5415mm","B","90.00","1uF"
"C16","0402","20.6502mm","-11.7094mm","20.6502mm","-11.7094mm","21.3002mm","-11.7094mm","B","180.00","0.1uF"
"C17","0402","-3.0988mm","-12.5984mm","-3.0988mm","-12.5984mm","-3.0988mm","-13.2484mm","B","90.00","10nF"
"C18","0402","0.3556mm","-15.5194mm","0.3556mm","-15.5194mm","1.0056mm","-15.5194mm","B","180.00","0.1uF"
"D1","Diode0603","23.3172mm","-11.8364mm","23.3172mm","-11.8364mm","23.3172mm","-12.6614mm","B","90.00","LED_0603"
"D3","DFLS130","25.9842mm","-12.3384mm","25.9842mm","-11.9634mm","25.9842mm","-13.6134mm","B","270.00","Shottky"
"D4","Diode0603","21.1582mm","-6.3754mm","21.1582mm","-6.3754mm","21.1582mm","-7.2004mm","B","90.00","LED_0603"
"L1","0805_(M2125)_Ferrite","20.1422mm","-1.2954mm","20.1422mm","-1.2954mm","20.1422mm","-2.4454mm","T","90.00","300Ohm"
"P2","miroSD_reverse","5.6342mm","-7.8974mm","13.2842mm","-4.5974mm","13.2842mm","-4.5974mm","T","90.00","microSD reverse"
"P4","Header_2x5_50mil","35.8902mm","-3.7084mm","35.2552mm","-6.2484mm","35.2552mm","-6.2484mm","T","0.00","Cortex Debug"
"P5","HDR_2x1_2mm","28.7782mm","-1.5414mm","28.7782mm","-0.5334mm","28.7782mm","-0.5494mm","T","180.00","HDR_2x1_2mm"
"P6","microUSB-B","36.4482mm","-11.7864mm","36.3982mm","-11.8364mm","35.0982mm","-13.1364mm","T","90.00","microUSB"
"P7","HDR_2x1_2mm","28.7782mm","-5.4944mm","28.7782mm","-6.5024mm","28.7782mm","-6.4864mm","T","360.00","HDR_2x1_2mm"
"Q1","SOT-523","26.1112mm","-3.9624mm","26.1112mm","-3.9624mm","25.4612mm","-3.4624mm","T","0.00","DMN5L06TK-7"
"R1","3-0603","5.0292mm","-14.8844mm","5.0292mm","-14.8844mm","4.1792mm","-14.8844mm","B","360.00","4.7k"
"R2","3-0603","-4.1148mm","-12.4714mm","-4.1148mm","-12.4714mm","-4.1148mm","-11.6214mm","B","270.00","4.7k"
"R5","3-0603","23.5458mm","-14.5288mm","23.5458mm","-14.5288mm","24.3958mm","-14.5288mm","B","180.00","330X"
"R6","3-0603","20.5232mm","-10.5664mm","20.5232mm","-10.5664mm","19.6732mm","-10.5664mm","B","360.00","100x"
"R7","3-0603","25.8572mm","-10.9474mm","25.8572mm","-10.9474mm","25.8572mm","-11.7974mm","T","90.00","10K"
"R9","3-0603","17.4752mm","-1.2954mm","17.4752mm","-1.2954mm","17.4752mm","-2.1454mm","T","90.00","100k"
"R10","3-0603","16.2052mm","-1.2954mm","16.2052mm","-1.2954mm","16.2052mm","-0.4454mm","T","270.00","100k"
"R11","3-0603","22.8346mm","-6.6294mm","22.8346mm","-6.6294mm","22.8346mm","-5.7794mm","B","270.00","2k"
"R12","3-0603","22.0472mm","-8.9154mm","22.0472mm","-8.9154mm","22.8972mm","-8.9154mm","B","180.00","330X"
"U1","QFN127P600-8N","20.0152mm","-7.7724mm","20.0152mm","-7.7724mm","22.7652mm","-4.2724mm","T","270.00","ATSAMD21GA-MUT"
"U2","Keller7LD","9.9822mm","-7.2644mm","11.2522mm","-9.8044mm","11.2522mm","-4.7244mm","B","90.00","Keller7LD"
"U3","MS5803_Press","15.8192mm","-7.1454mm","13.9192mm","-4.4704mm","13.9192mm","-4.4704mm","B","270.00","MS5803_Press"
"U4","SOT-23-OT5_N","25.2222mm","-5.2324mm","25.2222mm","-5.2324mm","24.2722mm","-4.0324mm","B","270.00","MCP73831T-2DCI/OT"
"U5","MF05A_N","20.9042mm","-2.6924mm","20.9042mm","-2.6924mm","22.1042mm","-1.7424mm","B","180.00","LP3985IM5-3.3"
"U6","MPU6500","-0.1198mm","-12.5984mm","-0.1198mm","-12.5984mm","1.4552mm","-11.5984mm","B","180.00","MPU9250"
"U7","ODFN","18.8722mm","-13.9954mm","18.8722mm","-13.9954mm","19.5422mm","-13.4954mm","B","180.00","RGB light"
"C2","0402","22.0472mm","-0.6604mm","22.0472mm","-0.6604mm","22.0472mm","-0.0104mm","T","270.00","12.5"
"R3","3-0603","5.2832mm","0.0508mm","5.2832mm","0.0508mm","4.4332mm","0.0508mm","B","360.00","100X"
"R4","3-0603","4.2164mm","-2.2352mm","4.2164mm","-2.2352mm","4.2164mm","-3.0852mm","B","90.00","100X"
"U8","PRESENS_O2","2.186mm","-4.963mm","3.556mm","-10.033mm","2.186mm","-7.963mm","B","90.00","PRESENS O2 CUBE"
"R8","3-0603","33.2232mm","-4.6228mm","33.2232mm","-4.6228mm","33.2232mm","-5.4728mm","B","90.00","Do not place"

